caldt,vwretd
20010502,0.000995
20010503,-0.014686
20010504,0.014492
20010507,-0.002508
20010508,-0.001616
20010509,-0.004568
20010510,-0.000072
20010511,-0.007488
20010514,0.002760
20010515,0.000335
20010516,0.028754
20010517,0.002819
20010518,0.002578
20010521,0.016336
20010522,-0.002543
20010523,-0.015468
20010524,0.003250
20010525,-0.011901
20010529,-0.007846
20010530,-0.015481
20010531,0.006323
20010601,0.003923
20010604,0.005016
20010605,0.013073
20010606,-0.010253
20010607,0.005412
20010608,-0.009416
20010611,-0.008444
20010612,0.001065
20010613,-0.011144
20010614,-0.017572
20010615,-0.004627
20010618,-0.004739
20010619,0.003493
20010620,0.008745
20010621,0.011599
20010622,-0.009653
20010625,-0.005565
20010626,-0.001503
20010627,-0.004428
20010628,0.012857
20010629,-0.001906
20010702,0.010258
20010703,-0.001440
20010705,-0.012378
20010706,-0.023329
20010709,0.006846
20010710,-0.014177
20010711,-0.001062
20010712,0.023841
20010713,0.006271
20010716,-0.010901
20010717,0.010106
20010718,-0.005221
20010719,0.005874
20010720,-0.003578
20010723,-0.016416
20010724,-0.016269
20010725,0.015906
20010726,0.010376
20010727,0.002481
20010730,-0.001052
20010731,0.005557
20010801,0.003961
20010802,0.004196
20010803,-0.004970
20010806,-0.011432
20010807,0.003412
20010808,-0.017197
20010809,0.000115
20010810,0.005657
20010813,0.000993
20010814,-0.003823
20010815,-0.007176
20010816,0.003016
20010817,-0.016517
20010820,0.008191
20010821,-0.012215
20010822,0.007032
20010823,-0.002899
20010824,0.019594
20010827,-0.004758
20010828,-0.015032
20010829,-0.011160
20010830,-0.016924
20010831,0.004151
20010904,-0.000583
20010905,-0.000843
20010906,-0.022362
20010907,-0.018559
20010910,0.006272
20010917,-0.048809
20010918,-0.005685
20010919,-0.015842
20010920,-0.030608
20010921,-0.019294
20010924,0.039013
20010925,0.008676
20010926,-0.004796
20010927,0.011205
20010928,0.021785
20011001,-0.002043
20011002,0.012118
20011003,0.020304
20011004,-0.002687
20011005,0.001935
20011008,-0.008232
20011009,-0.005336
20011010,0.022807
20011011,0.015019
20011012,-0.005068
20011015,-0.001281
20011016,0.007022
20011017,-0.018789
20011018,-0.007368
20011019,0.004644
20011022,0.015346
20011023,-0.004935
20011024,0.000427
20011025,0.013862
20011026,0.003998
20011029,-0.023653
20011030,-0.017126
20011031,0.000007
20011101,0.023063
20011102,0.003038
20011105,0.014451
20011106,0.014678
20011107,-0.002384
20011108,0.002338
20011109,0.001478
20011112,-0.001631
20011113,0.018696
20011114,0.002472
20011115,0.001131
20011116,-0.003265
20011119,0.010845
20011120,-0.007236
20011121,-0.004852
20011123,0.011676
20011126,0.006317
20011127,-0.006856
20011128,-0.018019
20011129,0.010498
20011130,-0.000663
20011203,-0.008463
20011204,0.013202
20011205,0.022692
20011206,-0.002598
20011207,-0.007555
20011210,-0.015739
20011211,-0.002868
20011212,0.000496
20011213,-0.015540
20011214,0.003273
20011217,0.010135
20011218,0.007712
20011219,0.005992
20011220,-0.008188
20011221,0.004232
20011224,-0.000286
20011226,0.004117
20011227,0.006945
20011228,0.003304
20011231,-0.011112
20020102,0.005897
20020103,0.009302
20020104,0.006248
20020107,-0.006477
20020108,-0.003317
20020109,-0.004710
20020110,0.001231
20020111,-0.009368
20020114,-0.006209
20020115,0.006759
20020116,-0.016412
20020117,0.010413
20020118,-0.009908
20020122,-0.007226
20020123,0.007627
20020124,0.003444
20020125,0.001022
20020128,-0.000210
20020129,-0.028604
20020130,0.011895
20020131,0.015062
20020201,-0.007371
20020204,-0.024551
20020205,-0.003882
20020206,-0.006016
20020207,-0.002897
20020208,0.014955
20020211,0.014354
20020212,-0.003956
20020213,0.010340
20020214,-0.001707
20020215,-0.011077
20020219,-0.018810
20020220,0.013757
20020221,-0.015566
20020222,0.007934
20020225,0.018069
20020226,0.000002
20020227,0.000890
20020228,-0.002858
20020301,0.022751
20020304,0.019576
20020305,-0.006701
20020306,0.014598
20020307,-0.004533
20020308,0.005946
20020311,0.003259
20020312,-0.002261
20020313,-0.009669
20020314,-0.000854
20020315,0.011431
20020318,-0.000649
20020319,0.004117
20020320,-0.015796
20020321,0.001608
20020322,-0.004151
20020325,-0.014667
20020326,0.006045
20020327,0.005253
20020328,0.002583
20020401,-0.001007
20020402,-0.008665
20020403,-0.009769
20020404,0.001006
20020405,-0.003188
20020408,0.002535
20020409,-0.006698
20020410,0.011447
20020411,-0.023712
20020412,0.006875
20020415,-0.007851
20020416,0.023342
20020417,-0.002028
20020418,-0.001395
20020419,0.000537
20020422,-0.015421
20020423,-0.006119
20020424,-0.007069
20020425,-0.001515
20020426,-0.013817
20020429,-0.010137
20020430,0.010847
20020501,0.008925
20020502,-0.001734
20020503,-0.010451
20020506,-0.019451
20020507,-0.002952
20020508,0.037787
20020509,-0.014458
20020510,-0.016818
20020513,0.018680
20020514,0.021270
20020515,-0.005369
20020516,0.006577
20020517,0.007806
20020520,-0.013180
20020521,-0.011087
20020522,0.005715
20020523,0.010190
20020524,-0.012327
20020528,-0.008512
20020529,-0.006341
20020530,-0.002676
20020531,0.002240
20020603,-0.024935
20020604,0.000105
20020605,0.009320
20020606,-0.019821
20020607,-0.001546
20020610,0.003383
20020611,-0.016831
20020612,0.006998
20020613,-0.010477
20020614,-0.002054
20020617,0.028663
20020618,0.000924
20020619,-0.016437
20020620,-0.013501
20020621,-0.017190
20020624,0.003660
20020625,-0.016876
20020626,-0.002120
20020627,0.017571
20020628,-0.001056
20020701,-0.021579
20020702,-0.020978
20020703,0.006182
20020705,0.036595
20020708,-0.011927
20020709,-0.024760
20020710,-0.033390
20020711,0.007639
20020712,-0.006274
20020715,-0.003375
20020716,-0.018342
20020717,0.005464
20020718,-0.027239
20020719,-0.037928
20020722,-0.032847
20020723,-0.026776
20020724,0.057541
20020725,-0.005814
20020726,0.017077
20020729,0.054307
20020730,0.004327
20020731,0.009920
20020801,-0.029658
20020802,-0.022838
20020805,-0.034300
20020806,0.029969
20020807,0.020293
20020808,0.032876
20020809,0.003703
20020812,-0.005184
20020813,-0.021696
20020814,0.040437
20020815,0.011664
20020816,-0.001583
20020819,0.023686
20020820,-0.013976
20020821,0.012840
20020822,0.014268
20020823,-0.022789
20020826,0.007781
20020827,-0.013999
20020828,-0.018013
20020829,-0.000033
20020830,-0.001847
20020903,-0.041685
20020904,0.017916
20020905,-0.015934
20020906,0.016837
20020909,0.010296
20020910,0.007358
20020911,0.000052
20020912,-0.024614
20020913,0.003234
20020916,0.001572
20020917,-0.019903
20020918,-0.004449
20020919,-0.030240
20020920,0.002421
20020923,-0.013856
20020924,-0.017242
20020925,0.025197
20020926,0.018286
20020927,-0.032400
20020930,-0.014676
20021001,0.040142
20021002,-0.023463
20021003,-0.010939
20021004,-0.022356
20021007,-0.018998
20021008,0.017385
20021009,-0.027320
20021010,0.035139
20021011,0.039184
20021014,0.007451
20021015,0.047306
20021016,-0.023981
20021017,0.022417
20021018,0.005950
20021021,0.017300
20021022,-0.010559
20021023,0.006710
20021024,-0.015268
20021025,0.017164
20021028,-0.008141
20021029,-0.008896
20021030,0.009984
20021031,-0.005451
20021101,0.017241
20021104,0.008064
20021105,0.007853
20021106,0.009268
20021107,-0.022657
20021108,-0.008776
20021111,-0.020847
20021112,0.007818
20021113,-0.000251
20021114,0.024892
20021115,0.006208
20021118,-0.010388
20021119,-0.003942
20021120,0.019632
20021121,0.021612
20021122,-0.003658
20021125,0.002631
20021126,-0.020650
20021127,0.028154
20021129,-0.002801
20021202,-0.001923
20021203,-0.014582
20021204,-0.003214
20021205,-0.012100
20021206,0.006233
20021209,-0.022088
20021210,0.014090
20021211,0.000761
20021212,-0.003809
20021213,-0.013341
20021216,0.023527
20021217,-0.008152
20021218,-0.013111
20021219,-0.007509
20021220,0.013063
20021223,0.001769
20021224,-0.005496
20021226,-0.003133
20021227,-0.015639
20021230,0.004597
20021231,0.000696
20030102,0.033246
20030103,-0.000367
20030106,0.022472
20030107,-0.006533
20030108,-0.013812
20030109,0.019380
20030110,-0.000159
20030113,-0.001301
20030114,0.005722
20030115,-0.014373
20030116,-0.003915
20030117,-0.013969
20030121,-0.015645
20030122,-0.010349
20030123,0.009972
20030124,-0.029159
20030127,-0.016181
20030128,0.012975
20030129,0.006993
20030130,-0.022557
20030131,0.013113
20030203,0.005461
20030204,-0.013943
20030205,-0.005392
20030206,-0.006321
20030207,-0.009932
20030210,0.007597
20030211,-0.008036
20030212,-0.012230
20030213,-0.001520
20030214,0.021282
20030218,0.019581
20030219,-0.006785
20030220,-0.009393
20030221,0.013112
20030224,-0.018206
20030225,0.007138
20030226,-0.012801
20030227,0.011728
20030228,0.004509
20030303,-0.007534
20030304,-0.015318
20030305,0.009855
20030306,-0.009021
20030307,0.008279
20030310,-0.025728
20030311,-0.008296
20030312,0.004763
20030313,0.034451
20030314,0.001537
20030317,0.035568
20030318,0.004350
20030319,0.008761
20030320,0.002012
20030321,0.023012
20030324,-0.035073
20030325,0.012110
20030326,-0.005364
20030327,-0.001528
20030328,-0.005695
20030331,-0.017780
20030401,0.012179
20030402,0.026384
20030403,-0.005007
20030404,0.002644
20030407,0.001289
20030408,-0.001538
20030409,-0.013950
20030410,0.006378
20030411,-0.003608
20030414,0.019493
20030415,0.006465
20030416,-0.012190
20030417,0.015607
20030421,-0.001818
20030422,0.021682
20030423,0.008705
20030424,-0.008316
20030425,-0.013862
20030428,0.018076
20030429,0.003350
20030430,-0.000962
20030501,-0.000452
20030502,0.015234
20030505,-0.003538
20030506,0.008504
20030507,-0.005106
20030508,-0.009991
20030509,0.014479
20030512,0.012629
20030513,-0.002764
20030514,-0.002883
20030515,0.007774
20030516,-0.002362
20030519,-0.024943
20030520,-0.001140
20030521,0.004004
20030522,0.009243
20030523,0.001544
20030527,0.019697
20030528,0.002053
20030529,-0.003851
20030530,0.014925
20030602,0.003332
20030603,0.004840
20030604,0.015265
20030605,0.004117
20030606,-0.002472
20030609,-0.011825
20030610,0.009157
20030611,0.013183
20030612,0.000975
20030613,-0.010008
20030616,0.022413
20030617,0.001095
20030618,-0.001437
20030619,-0.015104
20030620,0.001001
20030623,-0.014234
20030624,0.001990
20030625,-0.008161
20030626,0.010949
20030627,-0.009802
20030630,-0.001559
20030701,0.008154
20030702,0.011611
20030703,-0.007889
20030707,0.018744
20030708,0.003558
20030709,-0.005333
20030710,-0.013370
20030711,0.009603
20030714,0.006048
20030715,-0.003806
20030716,-0.006115
20030717,-0.012320
20030718,0.011728
20030721,-0.014638
20030722,0.009655
20030723,0.000771
20030724,-0.007269
20030725,0.017468
20030728,-0.002175
20030729,-0.007285
20030730,-0.001563
20030731,0.003175
20030801,-0.010252
20030804,0.002728
20030805,-0.017644
20030806,0.001924
20030807,0.007343
20030808,0.003572
20030811,0.003208
20030812,0.010111
20030813,-0.006115
20030814,0.006488
20030815,0.000418
20030818,0.009330
20030819,0.002735
20030820,-0.002009
20030821,0.003015
20030822,-0.010190
20030825,0.000658
20030826,0.002993
20030827,0.000334
20030828,0.006119
20030829,0.005270
20030902,0.013941
20030903,0.004405
20030904,0.001619
20030905,-0.006311
20030908,0.010195
20030909,-0.008490
20030910,-0.011686
20030911,0.005713
20030912,0.002236
20030915,-0.003640
20030916,0.014114
20030917,-0.003231
20030918,0.013328
20030919,-0.002951
20030922,-0.013256
20030923,0.005983
20030924,-0.018881
20030925,-0.005729
20030926,-0.006390
20030929,0.009571
20030930,-0.010382
20031001,0.022056
20031002,0.002432
20031003,0.009290
20031006,0.004461
20031007,0.004694
20031008,-0.004692
20031009,0.004844
20031010,-0.000769
20031013,0.006812
20031014,0.003898
20031015,-0.002594
20031016,0.003124
20031017,-0.010132
20031020,0.005171
20031021,0.001332
20031022,-0.014800
20031023,0.003225
20031024,-0.004808
20031027,0.002041
20031028,0.015162
20031029,0.001575
20031030,-0.000914
20031031,0.003390
20031103,0.008194
20031104,-0.005461
20031105,-0.001016
20031106,0.005769
20031107,-0.004391
20031110,-0.005751
20031111,-0.000464
20031112,0.011811
20031113,-0.000040
20031114,-0.007441
20031117,-0.006666
20031118,-0.008659
20031119,0.008253
